screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,weights rp13,weights rp14,weights rp15,,yes weights bns,no weights bns,,checkpoint weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,reels 3 weighted,,reels 3,reels 3,reels 3,reels 3,reels 3,weights,weights,weights,weights,weights,,reels 4 weighted,,reels 4,reels 4,reels 4,reels 4,reels 4,weights,weights,weights,weights,weights,,reels 5 weighted,,reels 5,reels 5,reels 5,reels 5,reels 5,weights,weights,weights,weights,weights,,reels 6 weighted,,reels 6,reels 6,reels 6,reels 6,reels 6,weights,weights,weights,weights,weights,,game
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP5,,,,,,,,,,,,,RP1,,,,,,,,,,,,,M2,,,,,,,,,,,,,TW,,,,,,,,,,,,,TW,,,,,,,,,,,,,TW,,,,,,,,,,,,,TW,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,,,,,,,,,F9,,,,,,,,,,,,,F9,,,,,,,,,,,,,F9,,,,,,,,,,,,,F9,,,,,,,,,,,,,F9,,,,,,,,,,,,,F9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP5,,,,,,,,,,,,,RP1,,,,,,,,,,,,,RP5,,,,,,,,,,,,,TW,,,,,,,,,,,,,RP5,,,,,,,,,,,,,RP1,,,,,,,,,,,,,RP5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,,,,RP11,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,,,,,,,,,F9,,,,,,,,,,,,,F9,,,,,,,,,,,,,F9,,,,,,,,,,,,,F9,,,,,,,,,,,,,F9,,,,,,,,,,,,,F9,,,,,,,,
